Ind.ID origin.pop pred.pop BM BN ITCS SICO SP CROA FR GR MAC
BM_3 BM GR 0.23992702336915 0.0383680118354696 0.0024135821824321 0.00366114451497141 0.00440976812204437 0.0197475634849932 0.00246063681217597 0.624910945953057 0.0641013237257063
BM_4 BM GR 0.369464681146706 0.0298137977447259 0.0046844590331775 0.0036480321426367 0.00386151808085815 0.0227371290822694 0.00285244863134985 0.493599265691416 0.0693386684468605
BM_7 BM GR 0.26737103777979 0.0415598641405598 0.00292759245538017 0.0037540882537003 0.00311167555989921 0.0200607464008057 0.00273979124628361 0.608468846705028 0.050006357458553
BM_10 BM GR 0.238534679532134 0.0440184768123711 0.00386187522546608 0.00501241569824685 0.00585923106373274 0.0234914008088537 0.00419066927833691 0.594188225778586 0.0808430258022737
BM_12 BM GR 0.257320263852081 0.0352149013312536 0.00285758378814083 0.00448137854400595 0.00506393298163089 0.0188558927138357 0.00281573312729409 0.614378826836381 0.0590114868253764
BM_13 BM GR 0.282965503037851 0.0361249177391942 0.00989444691481491 0.0143362476763686 0.0115005455316532 0.0208415673978481 0.0108681743723298 0.548491308419894 0.0649772889100467
BM_16 BM GR 0.269743375850888 0.0413006479376866 0.00228154784422027 0.00285680471164598 0.0020961809496789 0.0195072573440646 0.00202224580844664 0.619466964786949 0.0407249747664191
BM_22 BM GR 0.258921678501391 0.0375755819631754 0.00746027254011231 0.0131714918006864 0.00824938528722912 0.0182426420364059 0.00954999359888322 0.603810763279923 0.0430181909921941
BM_27 BM GR 0.223782722922683 0.0296164006364399 0.0147169012352728 0.0376979276650594 0.0263845292665017 0.0181197988647119 0.0243422998302711 0.564533100695592 0.0608063188834668
BM_28 BM GR 0.278995479123854 0.0395405653056764 0.0498196448493015 0.0420552660387693 0.0292715825097266 0.035883936195032 0.0504587092087728 0.380562212946565 0.0934126038223027
BM_29 BM GR 0.248347003005074 0.0396035880361896 0.00653092195412014 0.00863359060974286 0.0059967423011681 0.0216323451987443 0.00821433754590833 0.611236382170923 0.0498050891781307
BM_34 BM GR 0.357829708069095 0.0363393001216527 0.0200647114711882 0.0120859827444159 0.00933506512707735 0.0300432389711643 0.0161141045866155 0.427939341496995 0.0902485474117964
BM_35 BM GR 0.39233595616923 0.0299620965045726 0.00239230395815727 0.00176634032069337 0.0016870683792433 0.0219412940812784 0.00135874265817445 0.492076726064058 0.0564794718645931
BM_38 BM GR 0.243492150676429 0.0460006015853817 0.0578900964733488 0.0541234542977168 0.0327095764339692 0.0340803902694276 0.076127474726867 0.375993305570759 0.0795829499661004
BM_40 BM GR 0.214265071605543 0.0446502244740158 0.00391186285507658 0.00602234477287351 0.00659714211184861 0.0217687366812521 0.00488589223144706 0.631397866869977 0.0665008583979671
BM_41 BM GR 0.332683615379062 0.0315517706212049 0.0027267106663006 0.00322318767157975 0.00281775526921179 0.019039873874578 0.00188551819372821 0.557686062744421 0.0483855055799143
BN_2 BN GR 0.300965438346158 0.0463180987364187 0.00595209527207516 0.00480049604099315 0.00576192818968351 0.0327035723103112 0.00572229988562686 0.486243281472275 0.111532789746459
BN_6 BN GR 0.34130111080361 0.032315410483701 0.00294246275238761 0.00342124644799229 0.00266893496367402 0.0192132896664671 0.00201272808218799 0.549503669171235 0.0466211476287448
ITCS_9 ITCS FR 0.00393167343570146 0.00242622011147603 0.239926304057421 0.232644320595508 0.0646922530259761 0.00254526561435743 0.446986405529316 0.00382013486413618 0.00302742276610747
ITCS_11 ITCS FR 0.0029276137367195 0.00207543568266979 0.262265308710338 0.224520646163312 0.0445460935382032 0.00263565656611108 0.456205678123335 0.00246295029938798 0.00236061717992283
ITCS_13 ITCS FR 0.0134602406854892 0.00706486810566091 0.245535235315641 0.215648071492729 0.0535147007573904 0.00709483287022736 0.434090656874825 0.0156022417029575 0.00798915219507924
ITCS_17 ITCS FR 0.00808407254540341 0.00426028330257468 0.267281271864955 0.202001369843171 0.0576263330683436 0.00402427877586339 0.444727872601277 0.00745982860865322 0.0045346893897582
ITCS_18 ITCS FR 0.0125839016921545 0.00733207206130674 0.276197376235537 0.189319132771508 0.0447527825939443 0.00731347499873799 0.441897453983868 0.0133806283350525 0.00722317732789133
ITCS_19 ITCS FR 0.0230900016069731 0.0100587941764569 0.210350294141323 0.227841776484622 0.0568283515851545 0.00998639560878047 0.417560320338159 0.03140770386346 0.0128763621950714
ITCS_22 ITCS FR 0.0763307570678349 0.0261019311931631 0.183401014869083 0.166653323901544 0.0434110946221116 0.024053112972892 0.318902748785976 0.129167050971418 0.0319789656159778
ITCS_24 ITCS FR 0.0034109970825843 0.00322191919359669 0.212414332539944 0.259590961219408 0.0564032382916708 0.00411929165406367 0.453523460195377 0.00344033393486965 0.00387546588848672
ITCS_25 ITCS FR 0.0212849329578657 0.00892915173011499 0.246337088179829 0.207838924557763 0.0418718599380501 0.00922459822587174 0.426548664863278 0.0273905540583286 0.0105742254888989
ITCS_27 ITCS FR 0.0230276807476209 0.0174051214160451 0.227816302510258 0.199580285953026 0.0457160122544063 0.0191842559529304 0.408635570596991 0.0387113261400076 0.019923444428715
ITCS_38 ITCS FR 0.0276342202458364 0.00567071327989191 0.187592285613254 0.246191979603478 0.0628702087723001 0.0050268993104024 0.426127044431614 0.0299413553092769 0.00894529343394632
ITCS_41 ITCS FR 0.00130285778294972 0.00105423507266242 0.28639262897281 0.19231118536292 0.0586013046557952 0.00105287827591183 0.457171687711553 0.000996410783709395 0.00111681138168773
